   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
   1360    1789    1789    1789 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-sharing
   1360    1790    1790    1790 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-smartcard
   1594    1800    1594    1594 ?             -1 Sl    1000   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1360    1801    1801    1801 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-sound
   1360    1820    1820    1820 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-usb-protection
   1360    1823    1756    1756 ?             -1 Sl    1000   0:00 /usr/libexec/gsd-printer
   1360    1836    1836    1836 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-wacom
   1360    1842    1842    1842 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-wwan
   1360    1848    1848    1848 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-xsettings
   1360    1905    1594    1594 ?             -1 Sl    1000   0:10 /snap/snap-store/518/usr/bin/snap-store --gapplication-service
   1360    1929    1929    1929 ?             -1 Ssl   1000   0:00 /usr/libexec/xdg-document-portal
   1360    2309    2309    2309 ?             -1 SLsl  1000   0:50 /snap/code/60/usr/share/code/code --force-user-env --no-sandbox --unity-launch --no-sandbox
   2309    2326    2309    2309 ?             -1 S     1000   0:00 /snap/code/60/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
   2309    2327    2309    2309 ?             -1 S     1000   0:00 /snap/code/60/usr/share/code/code --type=zygote --no-sandbox
   2326    2401    2309    2309 ?             -1 Sl    1000   2:23 /snap/code/60/usr/share/code/code --type=gpu-process --field-trial-handle=1733115423503371358,10694189960674019356,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-color-correct-rendering --no-sandbox --enable-crash-reporter=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel --global-crash-keys=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.55.0 --gpu-preferences=OAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAA== --use-gl=swiftshader-webgl --shared-files
   2309    2404    2309    2309 ?             -1 Sl    1000   0:00 /snap/code/60/usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1733115423503371358,10694189960674019356,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-GB --service-sandbox-type=network --no-sandbox --enable-crash-reporter=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel --global-crash-keys=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.55.0 --standard-schemes=vscode-webview,vscode-webview-resource,vscode-file --secure-schemes=vscode-webview,vscode-webview-resource,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource,vscode-file --fetch-schemes=vscode-webview,vscode-webview-resource,vscode-file --service-worker-schemes --streaming-schemes --shared-files=v8_context_snapshot_data:100
   2309    2420    2309    2309 ?             -1 Sl    1000   0:41 /snap/code/60/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=1733115423503371358,10694189960674019356,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-GB --enable-crash-reporter=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel --global-crash-keys=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.55.0 --standard-schemes=vscode-webview,vscode-webview-resource,vscode-file --secure-schemes=vscode-webview,vscode-webview-resource,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource,vscode-file --fetch-schemes=vscode-webview,vscode-webview-resource,vscode-file --service-worker-schemes --streaming-schemes --app-path=/snap/code/60/usr/share/code/resources/app --node-integration --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/snap/code/60/usr/share/code/resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#1e1e1e --num-raster-threads=1 --renderer-client-id=6 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   2309    2431    2309    2309 ?             -1 Sl    1000   1:38 /snap/code/60/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=1733115423503371358,10694189960674019356,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-GB --enable-crash-reporter=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel --global-crash-keys=d64ea17d-7139-4fd3-9715-51ba00472c86,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.55.0 --standard-schemes=vscode-webview,vscode-webview-resource,vscode-file --secure-schemes=vscode-webview,vscode-webview-resource,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource,vscode-file --fetch-schemes=vscode-webview,vscode-webview-resource,vscode-file --service-worker-schemes --streaming-schemes --app-path=/snap/code/60/usr/share/code/resources/app --node-integration --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/snap/code/60/usr/share/code/resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#1e1e1e --num-raster-threads=1 --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
